Goods code;Add code;Order No.;Origin code;Meas. type code;Meas. cond;Sequence;Certificate;Cond. amount;Mon. unit;Meas. unit;Meas. unit qual;Meas. action
0101000000;;;IL;142;Y;1;Y864;;;;;27
0101000000;;;IL;142;Y;3;;;;;;07
0101210000;;;1011;103;B;1;C074;;;;;27
0101210000;;;1011;103;B;2;C078;;;;;27
0101210000;;;1011;103;B;3;;;;;;08
0101210000;;;1011;103;C;1;C075;;;;;27
0101210000;;;1011;103;C;2;;;;;;08
0101290000;;;1006;142;B;1;U088;;;;;27
0101290000;;;1006;142;B;2;;;;;;07
0101291000;;;1011;105;B;1;N990;;;;;27
0101291000;;;1011;105;B;2;;;;;;08
0101300000;;;1006;142;B;1;U088;;;;;27
0101300000;;;1006;142;B;2;;;;;;07
0101900000;;;1006;142;B;1;U088;;;;;27
0101900000;;;1006;142;B;2;;;;;;07
0102210000;;;1011;103;B;1;C074;;;;;27
0102210000;;;1011;103;B;2;;;;;;08
0102210000;;;1011;103;C;1;C075;;;;;27
0102210000;;;1011;103;C;2;;;;;;08
0102290000;;;IL;142;Y;1;Y864;;;;;27
0102290000;;;IL;142;Y;3;;;;;;07
0102291000;;;1006;142;B;1;U088;;;;;27
0102291000;;;1006;142;B;2;;;;;;07
0102291010;;090113;1008;123;B;1;N990;;;;;27
0102291010;;090113;1008;123;B;2;;;;;;08
0102291010;;090113;1008;123;S;1;;28;EUR;NAR;;27
0102291010;;090113;1008;123;S;2;;0;EUR;NAR;;07
0102291020;;090114;1008;123;B;1;N990;;;;;27
0102291020;;090114;1008;123;B;2;;;;;;08
0102291030;;090115;1008;123;B;1;N990;;;;;27
0102291030;;090115;1008;123;B;2;;;;;;08
0102291030;;090115;1008;123;C;1;C026;;;;;27
0102291030;;090115;1008;123;C;2;C027;;;;;27
0102291030;;090115;1008;123;C;3;;;;;;07
0102291040;;090114;1008;123;B;1;N990;;;;;27
0102291040;;090114;1008;123;B;2;;;;;;08
0102291040;;090115;1008;123;B;1;N990;;;;;27
0102291040;;090115;1008;123;B;2;;;;;;08
0102291040;;090115;1008;123;C;1;C026;;;;;27
0102291040;;090115;1008;123;C;2;C027;;;;;27
0102291040;;090115;1008;123;C;3;;;;;;07
0102291050;;090115;1008;123;B;1;N990;;;;;27
0102291050;;090115;1008;123;B;2;;;;;;08
0102291050;;090115;1008;123;C;1;C027;;;;;27
0102291050;;090115;1008;123;C;2;;;;;;07
0102292100;;;1006;142;B;1;U088;;;;;27
0102292100;;;1006;142;B;2;;;;;;07
0102292900;;;1006;142;B;1;U088;;;;;27
0102292900;;;1006;142;B;2;;;;;;07
0102292910;;090113;1008;123;B;1;N990;;;;;27
0102292910;;090113;1008;123;B;2;;;;;;08
0102292910;;090113;1008;123;S;1;;56;EUR;NAR;;27
0102292910;;090113;1008;123;S;2;;0;EUR;NAR;;07
0102292920;;090114;1008;123;B;1;N990;;;;;27
0102292920;;090114;1008;123;B;2;;;;;;08
0102292930;;090115;1008;123;B;1;N990;;;;;27
0102292930;;090115;1008;123;B;2;;;;;;08
0102292930;;090115;1008;123;C;1;C026;;;;;27
0102292930;;090115;1008;123;C;2;C027;;;;;27
0102292930;;090115;1008;123;C;3;;;;;;07
0102292940;;090114;1008;123;B;1;N990;;;;;27
0102292940;;090114;1008;123;B;2;;;;;;08
0102292940;;090115;1008;123;B;1;N990;;;;;27
0102292940;;090115;1008;123;B;2;;;;;;08
0102292940;;090115;1008;123;C;1;C026;;;;;27
0102292940;;090115;1008;123;C;2;C027;;;;;27
0102292940;;090115;1008;123;C;3;;;;;;07
0102292950;;090115;1008;123;B;1;N990;;;;;27
0102292950;;090115;1008;123;B;2;;;;;;08
0102292950;;090115;1008;123;C;1;C027;;;;;27
0102292950;;090115;1008;123;C;2;;;;;;07
0102294100;;;1006;142;B;1;U088;;;;;27
0102294100;;;1006;142;B;2;;;;;;07
0102294900;;;1006;142;B;1;U088;;;;;27
0102294900;;;1006;142;B;2;;;;;;07
0102294910;;090113;1008;123;B;1;N990;;;;;27
0102294910;;090113;1008;123;B;2;;;;;;08
0102294910;;090113;1008;123;S;1;;105;EUR;NAR;;27
0102294910;;090113;1008;123;S;2;;0;EUR;NAR;;07
0102294920;;090114;1008;123;B;1;N990;;;;;27
0102294920;;090114;1008;123;B;2;;;;;;08
0102294930;;090115;1008;123;B;1;N990;;;;;27
0102294930;;090115;1008;123;B;2;;;;;;08
0102294930;;090115;1008;123;C;1;C026;;;;;27
0102294930;;090115;1008;123;C;2;C027;;;;;27
0102294930;;090115;1008;123;C;3;;;;;;07
0102294940;;090114;1008;123;B;1;N990;;;;;27
0102294940;;090114;1008;123;B;2;;;;;;08
0102294940;;090115;1008;123;B;1;N990;;;;;27
0102294940;;090115;1008;123;B;2;;;;;;08
0102294940;;090115;1008;123;C;1;C026;;;;;27
0102294940;;090115;1008;123;C;2;C027;;;;;27
0102294940;;090115;1008;123;C;3;;;;;;07
0102294950;;090115;1008;123;B;1;N990;;;;;27
0102294950;;090115;1008;123;B;2;;;;;;08
0102294950;;090115;1008;123;C;1;C027;;;;;27
0102294950;;090115;1008;123;C;2;;;;;;07
0102295100;;;1006;142;B;1;U088;;;;;27
0102295100;;;1006;142;B;2;;;;;;07
0102295110;;094198;XS;143;B;1;A017;;;;;27
0102295110;;094198;XS;143;B;2;;;;;;07
0102295110;;094198;XS;143;C;1;L001;;;;;27
0102295110;;094198;XS;143;C;2;;;;;;07
0102295110;;094198;XS;143;Q;1;Y100;;;;;27
0102295110;;094198;XS;143;Q;2;;;;;;07
0102295110;;094199;ME;143;B;1;A017;;;;;27
0102295110;;094199;ME;143;B;2;;;;;;07
0102295110;;094199;ME;143;C;1;L001;;;;;27
0102295110;;094199;ME;143;C;2;;;;;;07
0102295110;;094199;ME;143;Q;1;Y100;;;;;27
0102295110;;094199;ME;143;Q;2;;;;;;07
0102295110;;094200;XK;143;B;1;A017;;;;;27
0102295110;;094200;XK;143;B;2;;;;;;07
0102295110;;094200;XK;143;C;1;L001;;;;;27
0102295110;;094200;XK;143;C;2;;;;;;07
0102295110;;094200;XK;143;Q;1;Y100;;;;;27
0102295110;;094200;XK;143;Q;2;;;;;;07
0102295110;;094504;BA;143;B;1;A017;;;;;27
0102295110;;094504;BA;143;B;2;;;;;;07
0102295110;;094504;BA;143;C;1;L001;;;;;27
0102295110;;094504;BA;143;C;2;;;;;;07
0102295110;;094504;BA;143;Q;1;Y100;;;;;27
0102295110;;094504;BA;143;Q;2;;;;;;07
0102295110;;094505;MK;143;B;1;A017;;;;;27
0102295110;;094505;MK;143;B;2;;;;;;07
0102295110;;094505;MK;143;C;1;L001;;;;;27
0102295110;;094505;MK;143;C;2;;;;;;07
0102295110;;094505;MK;143;Q;1;Y100;;;;;27
0102295110;;094505;MK;143;Q;2;;;;;;07
0102295900;;;1006;142;B;1;U088;;;;;27
0102295900;;;1006;142;B;2;;;;;;07
0102295911;;090114;1008;123;B;1;N990;;;;;27
0102295911;;090114;1008;123;B;2;;;;;;08
0102295911;;094198;XS;143;B;1;A017;;;;;27
0102295911;;094198;XS;143;B;2;;;;;;07
0102295911;;094198;XS;143;C;1;L001;;;;;27
0102295911;;094198;XS;143;C;2;;;;;;07
0102295911;;094198;XS;143;Q;1;Y100;;;;;27
0102295911;;094198;XS;143;Q;2;;;;;;07
0102295911;;094199;ME;143;B;1;A017;;;;;27
0102295911;;094199;ME;143;B;2;;;;;;07
0102295911;;094199;ME;143;C;1;L001;;;;;27
0102295911;;094199;ME;143;C;2;;;;;;07
0102295911;;094199;ME;143;Q;1;Y100;;;;;27
0102295911;;094199;ME;143;Q;2;;;;;;07
0102295911;;094200;XK;143;B;1;A017;;;;;27
0102295911;;094200;XK;143;B;2;;;;;;07
0102295911;;094200;XK;143;C;1;L001;;;;;27
0102295911;;094200;XK;143;C;2;;;;;;07
0102295911;;094200;XK;143;Q;1;Y100;;;;;27
0102295911;;094200;XK;143;Q;2;;;;;;07
0102295911;;094504;BA;143;B;1;A017;;;;;27
0102295911;;094504;BA;143;B;2;;;;;;07
0102295911;;094504;BA;143;C;1;L001;;;;;27
0102295911;;094504;BA;143;C;2;;;;;;07
0102295911;;094504;BA;143;Q;1;Y100;;;;;27
0102295911;;094504;BA;143;Q;2;;;;;;07
0102295911;;094505;MK;143;B;1;A017;;;;;27
0102295911;;094505;MK;143;B;2;;;;;;07
0102295911;;094505;MK;143;C;1;L001;;;;;27
0102295911;;094505;MK;143;C;2;;;;;;07
0102295911;;094505;MK;143;Q;1;Y100;;;;;27
0102295911;;094505;MK;143;Q;2;;;;;;07
0102295919;;090114;1008;123;B;1;N990;;;;;27
0102295919;;090114;1008;123;B;2;;;;;;08
0102295921;;090115;1008;123;B;1;N990;;;;;27
0102295921;;090115;1008;123;B;2;;;;;;08
0102295921;;090115;1008;123;C;1;C026;;;;;27
0102295921;;090115;1008;123;C;2;C027;;;;;27
0102295921;;090115;1008;123;C;3;;;;;;07
0102295921;;094198;XS;143;B;1;A017;;;;;27
0102295921;;094198;XS;143;B;2;;;;;;07
0102295921;;094198;XS;143;C;1;L001;;;;;27
0102295921;;094198;XS;143;C;2;;;;;;07
0102295921;;094198;XS;143;Q;1;Y100;;;;;27
0102295921;;094198;XS;143;Q;2;;;;;;07
0102295921;;094199;ME;143;B;1;A017;;;;;27
0102295921;;094199;ME;143;B;2;;;;;;07
0102295921;;094199;ME;143;C;1;L001;;;;;27
0102295921;;094199;ME;143;C;2;;;;;;07
0102295921;;094199;ME;143;Q;1;Y100;;;;;27
0102295921;;094199;ME;143;Q;2;;;;;;07
0102295921;;094200;XK;143;B;1;A017;;;;;27
0102295921;;094200;XK;143;B;2;;;;;;07
0102295921;;094200;XK;143;C;1;L001;;;;;27
0102295921;;094200;XK;143;C;2;;;;;;07
0102295921;;094200;XK;143;Q;1;Y100;;;;;27
0102295921;;094200;XK;143;Q;2;;;;;;07
0102295921;;094504;BA;143;B;1;A017;;;;;27
0102295921;;094504;BA;143;B;2;;;;;;07
0102295921;;094504;BA;143;C;1;L001;;;;;27
0102295921;;094504;BA;143;C;2;;;;;;07
0102295921;;094504;BA;143;Q;1;Y100;;;;;27
0102295921;;094504;BA;143;Q;2;;;;;;07
0102295921;;094505;MK;143;B;1;A017;;;;;27
0102295921;;094505;MK;143;B;2;;;;;;07
0102295921;;094505;MK;143;C;1;L001;;;;;27
0102295921;;094505;MK;143;C;2;;;;;;07
0102295921;;094505;MK;143;Q;1;Y100;;;;;27
0102295921;;094505;MK;143;Q;2;;;;;;07
0102295929;;090115;1008;123;B;1;N990;;;;;27
0102295929;;090115;1008;123;B;2;;;;;;08
0102295929;;090115;1008;123;C;1;C026;;;;;27
0102295929;;090115;1008;123;C;2;C027;;;;;27
0102295929;;090115;1008;123;C;3;;;;;;07
0102295931;;090114;1008;123;B;1;N990;;;;;27
0102295931;;090114;1008;123;B;2;;;;;;08
0102295931;;090115;1008;123;B;1;N990;;;;;27
0102295931;;090115;1008;123;B;2;;;;;;08
0102295931;;090115;1008;123;C;1;C026;;;;;27
0102295931;;090115;1008;123;C;2;C027;;;;;27
0102295931;;090115;1008;123;C;3;;;;;;07
0102295931;;094198;XS;143;B;1;A017;;;;;27
0102295931;;094198;XS;143;B;2;;;;;;07
0102295931;;094198;XS;143;C;1;L001;;;;;27
0102295931;;094198;XS;143;C;2;;;;;;07
0102295931;;094198;XS;143;Q;1;Y100;;;;;27
0102295931;;094198;XS;143;Q;2;;;;;;07
0102295931;;094199;ME;143;B;1;A017;;;;;27
0102295931;;094199;ME;143;B;2;;;;;;07
0102295931;;094199;ME;143;C;1;L001;;;;;27
0102295931;;094199;ME;143;C;2;;;;;;07
0102295931;;094199;ME;143;Q;1;Y100;;;;;27
0102295931;;094199;ME;143;Q;2;;;;;;07
0102295931;;094200;XK;143;B;1;A017;;;;;27
0102295931;;094200;XK;143;B;2;;;;;;07
0102295931;;094200;XK;143;C;1;L001;;;;;27
0102295931;;094200;XK;143;C;2;;;;;;07
0102295931;;094200;XK;143;Q;1;Y100;;;;;27
0102295931;;094200;XK;143;Q;2;;;;;;07
0102295931;;094504;BA;143;B;1;A017;;;;;27
0102295931;;094504;BA;143;B;2;;;;;;07
0102295931;;094504;BA;143;C;1;L001;;;;;27
0102295931;;094504;BA;143;C;2;;;;;;07
0102295931;;094504;BA;143;Q;1;Y100;;;;;27
0102295931;;094504;BA;143;Q;2;;;;;;07
0102295931;;094505;MK;143;B;1;A017;;;;;27
0102295931;;094505;MK;143;B;2;;;;;;07
0102295931;;094505;MK;143;C;1;L001;;;;;27
0102295931;;094505;MK;143;C;2;;;;;;07
0102295931;;094505;MK;143;Q;1;Y100;;;;;27
0102295931;;094505;MK;143;Q;2;;;;;;07
0102295939;;090114;1008;123;B;1;N990;;;;;27
0102295939;;090114;1008;123;B;2;;;;;;08
0102295939;;090115;1008;123;B;1;N990;;;;;27
0102295939;;090115;1008;123;B;2;;;;;;08
0102295939;;090115;1008;123;C;1;C026;;;;;27
0102295939;;090115;1008;123;C;2;C027;;;;;27
0102295939;;090115;1008;123;C;3;;;;;;07
0102295991;;094198;XS;143;B;1;A017;;;;;27
0102295991;;094198;XS;143;B;2;;;;;;07
0102295991;;094198;XS;143;C;1;L001;;;;;27
0102295991;;094198;XS;143;C;2;;;;;;07
0102295991;;094198;XS;143;Q;1;Y100;;;;;27
0102295991;;094198;XS;143;Q;2;;;;;;07
0102295991;;094199;ME;143;B;1;A017;;;;;27
0102295991;;094199;ME;143;B;2;;;;;;07
0102295991;;094199;ME;143;C;1;L001;;;;;27
0102295991;;094199;ME;143;C;2;;;;;;07
0102295991;;094199;ME;143;Q;1;Y100;;;;;27
0102295991;;094199;ME;143;Q;2;;;;;;07
0102295991;;094200;XK;143;B;1;A017;;;;;27
0102295991;;094200;XK;143;B;2;;;;;;07
0102295991;;094200;XK;143;C;1;L001;;;;;27
0102295991;;094200;XK;143;C;2;;;;;;07
0102295991;;094200;XK;143;Q;1;Y100;;;;;27
0102295991;;094200;XK;143;Q;2;;;;;;07
0102295991;;094504;BA;143;B;1;A017;;;;;27
0102295991;;094504;BA;143;B;2;;;;;;07
0102295991;;094504;BA;143;C;1;L001;;;;;27
0102295991;;094504;BA;143;C;2;;;;;;07
0102295991;;094504;BA;143;Q;1;Y100;;;;;27
0102295991;;094504;BA;143;Q;2;;;;;;07
0102295991;;094505;MK;143;B;1;A017;;;;;27
0102295991;;094505;MK;143;B;2;;;;;;07
0102295991;;094505;MK;143;C;1;L001;;;;;27
0102295991;;094505;MK;143;C;2;;;;;;07
0102295991;;094505;MK;143;Q;1;Y100;;;;;27
0102295991;;094505;MK;143;Q;2;;;;;;07
0102296100;;;1006;142;B;1;U088;;;;;27
0102296100;;;1006;142;B;2;;;;;;07
0102296900;;;1006;142;B;1;U088;;;;;27
0102296900;;;1006;142;B;2;;;;;;07
0102296910;;090114;1008;123;B;1;N990;;;;;27
0102296910;;090114;1008;123;B;2;;;;;;08
0102296920;;090115;1008;123;B;1;N990;;;;;27
0102296920;;090115;1008;123;B;2;;;;;;08
0102296920;;090115;1008;123;C;1;C026;;;;;27
0102296920;;090115;1008;123;C;2;C027;;;;;27
0102296920;;090115;1008;123;C;3;;;;;;07
0102296930;;090114;1008;123;B;1;N990;;;;;27
0102296930;;090114;1008;123;B;2;;;;;;08
0102296930;;090115;1008;123;B;1;N990;;;;;27
0102296930;;090115;1008;123;B;2;;;;;;08
0102296930;;090115;1008;123;C;1;C026;;;;;27
0102296930;;090115;1008;123;C;2;C027;;;;;27
0102296930;;090115;1008;123;C;3;;;;;;07
0102299100;;;1006;142;B;1;U088;;;;;27
0102299100;;;1006;142;B;2;;;;;;07
0102299110;;094198;XS;143;B;1;A017;;;;;27
0102299110;;094198;XS;143;B;2;;;;;;07
0102299110;;094198;XS;143;C;1;L001;;;;;27
0102299110;;094198;XS;143;C;2;;;;;;07
0102299110;;094198;XS;143;Q;1;Y100;;;;;27
0102299110;;094198;XS;143;Q;2;;;;;;07
0102299110;;094199;ME;143;B;1;A017;;;;;27
0102299110;;094199;ME;143;B;2;;;;;;07
0102299110;;094199;ME;143;C;1;L001;;;;;27
0102299110;;094199;ME;143;C;2;;;;;;07
0102299110;;094199;ME;143;Q;1;Y100;;;;;27
0102299110;;094199;ME;143;Q;2;;;;;;07
0102299110;;094200;XK;143;B;1;A017;;;;;27
0102299110;;094200;XK;143;B;2;;;;;;07
0102299110;;094200;XK;143;C;1;L001;;;;;27
0102299110;;094200;XK;143;C;2;;;;;;07
0102299110;;094200;XK;143;Q;1;Y100;;;;;27
0102299110;;094200;XK;143;Q;2;;;;;;07
0102299110;;094504;BA;143;B;1;A017;;;;;27
0102299110;;094504;BA;143;B;2;;;;;;07
0102299110;;094504;BA;143;C;1;L001;;;;;27
0102299110;;094504;BA;143;C;2;;;;;;07
0102299110;;094504;BA;143;Q;1;Y100;;;;;27
0102299110;;094504;BA;143;Q;2;;;;;;07
0102299110;;094505;MK;143;B;1;A017;;;;;27
0102299110;;094505;MK;143;B;2;;;;;;07
0102299110;;094505;MK;143;C;1;L001;;;;;27
0102299110;;094505;MK;143;C;2;;;;;;07
0102299110;;094505;MK;143;Q;1;Y100;;;;;27
0102299110;;094505;MK;143;Q;2;;;;;;07
0102299900;;;1006;142;B;1;U088;;;;;27
0102299900;;;1006;142;B;2;;;;;;07
0102299921;;090115;1008;123;B;1;N990;;;;;27
0102299921;;090115;1008;123;B;2;;;;;;08
0102299921;;090115;1008;123;C;1;C027;;;;;27
0102299921;;090115;1008;123;C;2;;;;;;07
0102299921;;094198;XS;143;B;1;A017;;;;;27
0102299921;;094198;XS;143;B;2;;;;;;07
0102299921;;094198;XS;143;C;1;L001;;;;;27
0102299921;;094198;XS;143;C;2;;;;;;07
0102299921;;094198;XS;143;Q;1;Y100;;;;;27
0102299921;;094198;XS;143;Q;2;;;;;;07
0102299921;;094199;ME;143;B;1;A017;;;;;27
0102299921;;094199;ME;143;B;2;;;;;;07
0102299921;;094199;ME;143;C;1;L001;;;;;27
0102299921;;094199;ME;143;C;2;;;;;;07
0102299921;;094199;ME;143;Q;1;Y100;;;;;27
0102299921;;094199;ME;143;Q;2;;;;;;07
0102299921;;094200;XK;143;B;1;A017;;;;;27
0102299921;;094200;XK;143;B;2;;;;;;07
0102299921;;094200;XK;143;C;1;L001;;;;;27
0102299921;;094200;XK;143;C;2;;;;;;07
0102299921;;094200;XK;143;Q;1;Y100;;;;;27
0102299921;;094200;XK;143;Q;2;;;;;;07
0102299921;;094504;BA;143;B;1;A017;;;;;27
0102299921;;094504;BA;143;B;2;;;;;;07
0102299921;;094504;BA;143;C;1;L001;;;;;27
0102299921;;094504;BA;143;C;2;;;;;;07
0102299921;;094504;BA;143;Q;1;Y100;;;;;27
0102299921;;094504;BA;143;Q;2;;;;;;07
0102299921;;094505;MK;143;B;1;A017;;;;;27
0102299921;;094505;MK;143;B;2;;;;;;07
0102299921;;094505;MK;143;C;1;L001;;;;;27
0102299921;;094505;MK;143;C;2;;;;;;07
0102299921;;094505;MK;143;Q;1;Y100;;;;;27
0102299921;;094505;MK;143;Q;2;;;;;;07
0102299929;;090115;1008;123;B;1;N990;;;;;27
0102299929;;090115;1008;123;B;2;;;;;;08
0102299929;;090115;1008;123;C;1;C027;;;;;27
0102299929;;090115;1008;123;C;2;;;;;;07
0102299991;;094198;XS;143;B;1;A017;;;;;27
0102299991;;094198;XS;143;B;2;;;;;;07
0102299991;;094198;XS;143;C;1;L001;;;;;27
0102299991;;094198;XS;143;C;2;;;;;;07
0102299991;;094198;XS;143;Q;1;Y100;;;;;27
0102299991;;094198;XS;143;Q;2;;;;;;07
0102299991;;094199;ME;143;B;1;A017;;;;;27
0102299991;;094199;ME;143;B;2;;;;;;07
0102299991;;094199;ME;143;C;1;L001;;;;;27
0102299991;;094199;ME;143;C;2;;;;;;07
0102299991;;094199;ME;143;Q;1;Y100;;;;;27
0102299991;;094199;ME;143;Q;2;;;;;;07
0102299991;;094200;XK;143;B;1;A017;;;;;27
0102299991;;094200;XK;143;B;2;;;;;;07
0102299991;;094200;XK;143;C;1;L001;;;;;27
0102299991;;094200;XK;143;C;2;;;;;;07
0102299991;;094200;XK;143;Q;1;Y100;;;;;27
0102299991;;094200;XK;143;Q;2;;;;;;07
0102299991;;094504;BA;143;B;1;A017;;;;;27
0102299991;;094504;BA;143;B;2;;;;;;07
0102299991;;094504;BA;143;C;1;L001;;;;;27
0102299991;;094504;BA;143;C;2;;;;;;07
0102299991;;094504;BA;143;Q;1;Y100;;;;;27
0102299991;;094504;BA;143;Q;2;;;;;;07
0102299991;;094505;MK;143;B;1;A017;;;;;27
0102299991;;094505;MK;143;B;2;;;;;;07
0102299991;;094505;MK;143;C;1;L001;;;;;27
0102299991;;094505;MK;143;C;2;;;;;;07
0102299991;;094505;MK;143;Q;1;Y100;;;;;27
0102299991;;094505;MK;143;Q;2;;;;;;07
0102310000;;;1011;103;B;1;C074;;;;;27
0102310000;;;1011;103;B;2;;;;;;08
0102310000;;;1011;103;C;1;C075;;;;;27
0102310000;;;1011;103;C;2;;;;;;08
0102391000;;;1006;142;B;1;U088;;;;;27
0102391000;;;1006;142;B;2;;;;;;07
0102391000;;;IL;142;Y;1;Y864;;;;;27
0102391000;;;IL;142;Y;3;;;;;;07
0102902000;;;1011;103;B;1;C074;;;;;27
0102902000;;;1011;103;B;2;;;;;;08
0102902000;;;1011;103;C;1;C075;;;;;27
0102902000;;;1011;103;C;2;;;;;;08
0102909100;;;1006;142;B;1;U088;;;;;27
0102909100;;;1006;142;B;2;;;;;;07
0102909100;;;IL;142;Y;1;Y864;;;;;27
0102909100;;;IL;142;Y;3;;;;;;07
0103000000;;;IL;142;Y;1;Y864;;;;;27
0103000000;;;IL;142;Y;3;;;;;;07
0103100000;;;1011;103;B;1;C074;;;;;27
0103100000;;;1011;103;B;2;;;;;;08
0103100000;;;1011;103;C;1;C075;;;;;27
0103100000;;;1011;103;C;2;;;;;;08
0103911000;;;1006;142;B;1;U088;;;;;27
0103911000;;;1006;142;B;2;;;;;;07
0103921100;;;1006;142;B;1;U088;;;;;27
0103921100;;;1006;142;B;2;;;;;;07
0103921900;;;1006;142;B;1;U088;;;;;27
0103921900;;;1006;142;B;2;;;;;;07
0104000000;;;IL;142;Y;1;Y864;;;;;27
0104000000;;;IL;142;Y;3;;;;;;07
0104101000;;;1011;103;B;1;C074;;;;;27
0104101000;;;1011;103;B;2;;;;;;08
0104101000;;;1011;103;C;1;C075;;;;;27
0104101000;;;1011;103;C;2;;;;;;08
0104103000;;092181;1008;122;B;1;C008;;;;;27
0104103000;;092181;1008;122;B;2;;;;;;07
0104103000;;;1006;142;B;1;U088;;;;;27
0104103000;;;1006;142;B;2;;;;;;07
0104108000;;092181;1008;122;B;1;C008;;;;;27
0104108000;;092181;1008;122;B;2;;;;;;07
0104108000;;;1006;142;B;1;U088;;;;;27
0104108000;;;1006;142;B;2;;;;;;07
0104200000;;;1006;142;B;1;U088;;;;;27
0104200000;;;1006;142;B;2;;;;;;07
0104201000;;;1011;103;B;1;C074;;;;;27
0104201000;;;1011;103;B;2;;;;;;08
0104201000;;;1011;103;C;1;C075;;;;;27
0104201000;;;1011;103;C;2;;;;;;08
0104209000;;092181;1008;122;B;1;C008;;;;;27
0104209000;;092181;1008;122;B;2;;;;;;07
0105110000;;;IL;142;Y;1;Y864;;;;;27
0105110000;;;IL;142;Y;3;;;;;;07
0105111100;;;1006;142;B;1;U088;;;;;27
0105111100;;;1006;142;B;2;;;;;;07
0105111900;;;1006;142;B;1;U088;;;;;27
0105111900;;;1006;142;B;2;;;;;;07
0105120000;;091361;IL;143;Y;1;Y864;;;;;27
0105120000;;091361;IL;143;Y;3;;;;;;07
0105120000;;;1006;142;B;1;U088;;;;;27
0105120000;;;1006;142;B;2;;;;;;07
0105130000;;;1006;142;B;1;U088;;;;;27
0105130000;;;1006;142;B;2;;;;;;07
0105130000;;;IL;142;Y;1;Y864;;;;;27
0105130000;;;IL;142;Y;3;;;;;;07
0105140000;;;1006;142;B;1;U088;;;;;27
0105140000;;;1006;142;B;2;;;;;;07
0105140000;;;IL;142;Y;1;Y864;;;;;27
0105140000;;;IL;142;Y;3;;;;;;07
0105150000;;;1006;142;B;1;U088;;;;;27
0105150000;;;1006;142;B;2;;;;;;07
0105150000;;;IL;142;Y;1;Y864;;;;;27
0105150000;;;IL;142;Y;3;;;;;;07
0105940000;;;IL;142;Y;1;Y864;;;;;27
0105940000;;;IL;142;Y;3;;;;;;07
0105990000;;;IL;142;Y;1;Y864;;;;;27
0105990000;;;IL;142;Y;3;;;;;;07
0105991000;;;1006;142;B;1;U088;;;;;27
0105991000;;;1006;142;B;2;;;;;;07
0105992000;;;1006;142;B;1;U088;;;;;27
0105992000;;;1006;142;B;2;;;;;;07
0105995000;;;1006;142;B;1;U088;;;;;27
0105995000;;;1006;142;B;2;;;;;;07
0106000000;;;IL;142;Y;1;Y864;;;;;27
0106000000;;;IL;142;Y;3;;;;;;07
0106141000;;;1006;142;B;1;U088;;;;;27
0106141000;;;1006;142;B;2;;;;;;07
0106391000;;;1006;142;B;1;U088;;;;;27
0106391000;;;1006;142;B;2;;;;;;07
0201000000;;094456;NZ;143;B;1;C094;;;;;27
0201000000;;094456;NZ;143;B;2;;;;;;07
0201000000;;094456;NZ;143;C;1;L001;;;;;27
0201000000;;094456;NZ;143;C;2;;;;;;07
0201000000;;094456;NZ;143;Q;1;Y100;;;;;27
0201000000;;094456;NZ;143;Q;2;;;;;;07
0201000000;;097300;2200;143;C;1;E017;;;;;27
0201000000;;097300;2200;143;C;2;;;;;;07
0201000000;;;IL;142;Y;1;Y864;;;;;27
0201000000;;;IL;142;Y;3;;;;;;07
0201100000;;094181;CL;143;B;1;L001;;;;;27
0201100000;;094181;CL;143;B;2;;;;;;07
0201100000;;094181;CL;143;C;1;A017;;;;;27
0201100000;;094181;CL;143;C;2;;;;;;07
0201100000;;094181;CL;143;Q;1;Y100;;;;;27
0201100000;;094181;CL;143;Q;2;;;;;;07
0201100021;;094002;CA;122;B;1;A017;;;;;27
0201100021;;094002;CA;122;B;2;;;;;;07
0201100021;;094002;CA;122;C;1;L001;;;;;27
0201100021;;094002;CA;122;C;2;;;;;;07
0201100021;;094002;CA;122;Q;1;Y100;;;;;27
0201100021;;094002;CA;122;Q;2;;;;;;07
0201100021;;094002;US;122;B;1;A017;;;;;27
0201100021;;094002;US;122;B;2;;;;;;07
0201100021;;094002;US;122;C;1;L001;;;;;27
0201100021;;094002;US;122;C;2;;;;;;07
0201100021;;094002;US;122;Q;1;Y100;;;;;27
0201100021;;094002;US;122;Q;2;;;;;;07
0201100029;;092202;AR;122;B;1;A023;;;;;27
0201100029;;092202;AR;122;B;1;A023;;;;;27
0201100029;;092202;AR;122;B;1;A023;;;;;27
0201100029;;092202;AR;122;B;1;A023;;;;;27
0201100029;;092202;AR;122;B;2;;;;;;07
0201100029;;092202;AR;122;B;2;;;;;;07
0201100029;;092202;AR;122;B;2;;;;;;07
0201100029;;092202;AR;122;B;2;;;;;;07
0201100029;;092202;AU;122;B;1;A023;;;;;27
0201100029;;092202;AU;122;B;1;A023;;;;;27
0201100029;;092202;AU;122;B;1;A023;;;;;27
0201100029;;092202;AU;122;B;1;A023;;;;;27
0201100029;;092202;AU;122;B;2;;;;;;07
0201100029;;092202;AU;122;B;2;;;;;;07
0201100029;;092202;AU;122;B;2;;;;;;07
0201100029;;092202;AU;122;B;2;;;;;;07
0201100029;;092202;CA;122;B;1;A023;;;;;27
0201100029;;092202;CA;122;B;1;A023;;;;;27
0201100029;;092202;CA;122;B;1;A023;;;;;27
0201100029;;092202;CA;122;B;1;A023;;;;;27
0201100029;;092202;CA;122;B;2;;;;;;07
